name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2023-01-01,54.2,45.8,51.6,54.2,43.5,51.2,45.1,78.7,0.057,100,20.83,rain,0.0,0.0,28.0,18.0,224.4,1008.0,80.9,9.2,17.9,1.5,1,,2023-01-01T08:06:18,2023-01-01T16:01:52,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,AR120,03772099999,03770099999"
london,2023-01-02,48.4,37.1,43.7,44.4,34.3,40.6,39.7,86.5,0.024,100,8.33,rain,0.0,0.0,13.4,9.6,247.5,1016.8,40.4,15.6,24.3,2.0,2,,2023-01-02T08:06:11,2023-01-02T16:02:56,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-03,55.1,39.4,48.3,55.1,39.4,47.0,45.6,90.3,0.078,100,12.5,rain,0.0,0.0,31.3,19.9,201.2,1018.7,90.4,7.1,8.1,0.6,0,,2023-01-03T08:06:01,2023-01-03T16:04:03,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
london,2023-01-04,57.3,51.5,55.0,57.3,51.5,55.0,48.9,80.1,0.016,100,8.33,rain,0.0,0.0,33.8,23.9,245.3,1014.6,78.7,10.9,14.7,1.4,1,,2023-01-04T08:05:48,2023-01-04T16:05:12,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-05,56.6,49.7,53.1,56.6,45.8,52.8,47.2,80.5,0.0,0,0.0,,0.0,0.0,28.1,16.8,230.1,1018.6,92.0,12.0,17.3,1.5,1,,2023-01-05T08:05:31,2023-01-05T16:06:24,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-06,54.8,44.0,50.5,54.8,38.4,48.9,45.9,84.4,0.125,100,8.33,rain,0.0,0.0,28.4,19.6,216.3,1013.8,59.9,16.6,28.5,2.4,2,,2023-01-06T08:05:11,2023-01-06T16:07:38,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-07,55.1,45.8,51.3,55.1,40.0,49.8,45.6,80.8,0.125,100,16.67,rain,0.0,0.0,35.8,23.0,199.9,1000.7,80.6,12.8,5.4,0.6,0,,2023-01-07T08:04:48,2023-01-07T16:08:55,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-08,50.2,42.2,45.7,50.2,36.6,40.2,41.6,85.6,0.307,100,41.67,rain,0.0,0.0,28.4,16.4,208.0,992.9,77.0,11.3,18.8,1.5,1,,2023-01-08T08:04:21,2023-01-08T16:10:14,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-09,48.8,41.3,44.4,43.4,35.1,38.4,38.1,78.9,0.0,0,0.0,,0.0,0.0,25.4,18.1,263.8,1001.2,46.1,16.4,26.8,2.3,2,,2023-01-09T08:03:51,2023-01-09T16:11:35,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-10,55.7,40.7,48.7,55.7,35.0,45.9,45.0,87.1,0.283,100,37.5,rain,0.0,0.0,33.2,20.0,213.2,1008.3,81.6,7.5,8.3,0.8,1,,2023-01-10T08:03:18,2023-01-10T16:12:58,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-11,51.2,45.8,48.7,51.2,39.6,44.7,42.3,78.6,0.055,100,8.33,rain,0.0,0.0,30.2,19.6,244.2,1008.5,48.9,13.7,25.9,2.4,2,,2023-01-11T08:02:42,2023-01-11T16:14:23,0.65,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
london,2023-01-12,55.1,47.6,52.2,55.1,40.2,50.8,46.5,81.3,0.261,100,45.83,rain,0.0,0.0,36.4,24.5,240.7,1003.2,87.0,10.3,10.3,0.8,1,,2023-01-12T08:02:03,2023-01-12T16:15:50,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-13,51.2,44.7,47.5,51.2,37.9,42.3,38.0,69.5,0.0,0,0.0,,0.0,0.0,36.4,26.6,255.4,1008.7,36.5,14.2,28.8,2.6,2,,2023-01-13T08:01:20,2023-01-13T16:17:19,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
london,2023-01-14,55.1,44.0,49.0,55.1,37.0,44.8,43.4,81.4,0.378,100,37.5,rain,0.0,0.0,35.9,22.6,232.6,1000.6,80.2,12.4,11.0,0.9,1,,2023-01-14T08:00:35,2023-01-14T16:18:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-15,46.7,39.3,42.3,39.9,31.5,35.5,34.7,74.5,0.008,100,4.17,rain,0.0,0.0,29.8,18.6,240.5,998.3,35.9,19.4,26.4,2.3,2,,2023-01-15T07:59:47,2023-01-15T16:20:22,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2023-01-16,42.0,29.4,38.5,36.4,25.6,32.6,33.2,81.7,0.441,100,33.33,rain,0.2,0.2,25.9,15.3,336.0,986.1,71.7,13.9,15.1,1.3,1,,2023-01-16T07:58:56,2023-01-16T16:21:56,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-17,35.8,26.3,30.5,35.8,23.3,28.5,27.0,86.9,0.0,0,0.0,,0.0,0.3,7.3,6.6,294.7,989.8,18.4,14.3,22.2,1.9,2,,2023-01-17T07:58:02,2023-01-17T16:23:31,0.85,Clear,Clear conditions throughout the day.,clear-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-18,41.3,29.4,34.2,35.4,23.5,28.2,29.5,83.2,0.0,0,0.0,,0.0,0.3,17.8,11.4,270.7,998.2,16.8,18.3,30.7,2.5,2,,2023-01-18T07:57:05,2023-01-18T16:25:08,0.89,Clear,Clear conditions throughout the day.,clear-day,"D5621,03672099999,03781099999,F6665,D4121,03772099999,03770099999"
london,2023-01-19,41.6,29.0,34.4,36.9,24.7,30.2,29.8,84.0,0.0,0,0.0,,0.0,0.3,12.0,7.9,279.9,1008.1,19.9,16.5,26.6,2.1,2,,2023-01-19T07:56:05,2023-01-19T16:26:46,0.92,Clear,Clear conditions throughout the day.,clear-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-20,43.8,30.5,37.8,38.6,23.0,32.1,31.4,78.2,0.0,0,0.0,,0.0,0.1,17.2,11.0,301.9,1019.0,37.2,18.6,29.9,2.6,2,,2023-01-20T07:55:03,2023-01-20T16:28:26,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"D5621,03672099999,03781099999,F4685,03772099999,03770099999"
london,2023-01-21,43.1,28.1,37.0,40.2,24.4,35.0,31.4,80.5,0.0,0,0.0,,0.0,0.2,10.3,6.2,41.9,1032.3,15.7,8.5,29.9,2.7,2,,2023-01-21T07:53:58,2023-01-21T16:30:06,0.0,Clear,Clear conditions throughout the day.,clear-day,"D5621,03672099999,03781099999,remote,03772099999,03770099999"
london,2023-01-22,41.2,26.9,32.4,41.0,25.4,32.1,29.3,89.2,0.0,0,0.0,,0.0,0.4,5.7,4.6,340.8,1035.7,21.2,3.7,31.8,2.6,2,,2023-01-22T07:52:50,2023-01-22T16:31:48,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2023-01-23,40.4,25.0,33.7,40.4,23.3,32.4,29.4,84.9,0.0,0,0.0,,0.0,0.3,6.9,5.1,32.9,1037.8,50.2,8.2,29.2,2.5,2,,2023-01-23T07:51:40,2023-01-23T16:33:31,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2023-01-24,41.1,29.5,39.1,40.3,29.5,36.4,32.9,78.3,0.0,0,0.0,,0.0,0.0,13.4,8.0,39.8,1038.9,72.4,10.3,22.1,1.9,1,,2023-01-24T07:50:27,2023-01-24T16:35:14,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,F6665,03772099999,03770099999"
london,2023-01-25,44.0,29.9,35.7,38.7,27.2,32.5,34.4,95.0,0.079,100,16.67,rain,0.0,0.0,14.4,9.6,277.1,1033.1,92.6,2.8,16.0,1.3,1,,2023-01-25T07:49:12,2023-01-25T16:36:59,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
