DATE,TX,Q_TX,TN,Q_TN,TG,Q_TG,SS,Q_SS,SD,Q_SD,RR,Q_RR,QQ,Q_QQ,PP,Q_PP,HU,Q_HU,CC,Q_CC
20230101,93,1,100,1,112,1,0,0,0,0,46,0,21,0,10080,0,81,0,7,0
20230102,134,0,52,0,72,0,52,0,0,0,4,0,44,0,10169,0,86,0,3,0
20230103,139,0,21,0,78,0,0,0,0,0,30,0,9,0,10186,0,93,0,7,0
20230104,135,0,92,0,116,0,4,0,0,0,2,0,17,0,10146,0,82,0,6,0
20230105,127,0,89,0,112,0,4,0,0,0,24,0,28,0,10186,0,82,0,8,0
20230106,114,0,63,0,95,0,22,0,0,0,6,0,34,0,10138,0,87,0,4,0
20230107,95,0,67,0,91,0,0,0,0,0,32,0,8,0,10006,0,84,0,7,0
20230108,96,0,65,0,80,0,2,0,0,0,72,0,14,0,9928,0,87,0,6,0
20230109,130,0,44,0,70,0,24,0,0,0,20,0,38,0,10014,0,80,0,4,0
20230110,122,0,39,0,84,0,0,0,0,0,36,0,10,0,10083,0,89,0,7,0
20230111,127,0,68,0,95,0,31,0,0,0,40,0,27,0,10085,0,81,0,5,0
20230112,115,0,72,0,99,0,1,0,0,0,38,0,14,0,10031,0,83,0,7,0
20230113,126,0,72,0,93,0,49,0,0,0,84,0,44,0,10088,0,72,0,2,0
20230114,82,1,60,0,93,1,1,0,0,0,16,0,19,0,10006,0,84,0,8,0
20230115,53,1,38,0,60,1,25,0,0,0,108,0,33,0,9984,0,77,0,4,0
20230116,8,1,27,1,40,1,11,0,0,0,0,0,28,0,9864,0,83,0,6,0
20230117,52,0,-50,0,-21,0,7,0,0,0,0,0,35,0,9899,0,86,0,4,0
20230118,56,0,-38,0,7,0,60,0,0,0,0,0,60,0,9983,0,84,0,2,0
20230119,63,0,-27,0,14,0,60,0,0,0,0,0,62,0,10082,0,83,0,3,0
20230120,62,0,-13,0,25,0,53,0,0,0,2,0,52,0,10192,0,79,0,2,0
20230121,37,0,-14,0,24,0,64,0,0,0,0,0,58,0,10325,0,84,0,1,0
20230122,52,0,-47,0,-5,0,36,0,0,0,0,0,50,0,10359,0,94,0,1,0
20230123,50,0,-84,0,-16,0,63,0,0,0,2,0,64,0,10379,0,85,0,4,0
20230124,61,0,-51,0,-1,0,29,0,0,0,0,0,45,0,10391,0,81,0,5,0
20230125,80,0,-33,0,14,0,0,0,0,0,28,0,18,0,10333,0,97,0,7,0
20230126,73,0,-6,0,37,0,8,0,0,0,0,0,34,0,10305,0,83,0,6,0
20230127,62,0,39,0,56,0,2,0,0,0,0,0,37,0,10309,0,79,0,6,0
20230128,89,0,17,0,40,0,0,0,0,0,0,0,30,0,10321,0,76,0,8,0
20230129,99,0,35,0,62,0,0,0,0,0,0,0,25,0,10267,0,88,0,6,0
20230130,125,0,50,0,75,0,56,0,0,0,0,0,65,0,10251,0,74,0,3,0
20230131,104,0,33,0,79,0,18,0,0,0,0,0,40,0,10251,0,75,0,6,0
20230201,114,0,43,0,73,0,25,0,0,0,0,0,50,0,10251,0,75,0,5,0
20230202,136,0,60,0,87,0,4,0,0,0,0,0,37,0,10273,0,80,0,7,0
20230203,94,1,77,0,107,1,40,0,0,0,0,0,61,0,10315,0,81,0,6,0
20230204,89,0,81,0,88,0,1,0,0,0,0,0,23,0,10382,0,82,0,8,0
20230205,116,0,33,0,61,0,61,0,0,0,0,0,71,0,10447,0,74,0,2,0
20230206,88,0,8,0,62,0,81,0,0,0,0,0,87,0,10421,0,74,0,3,0
20230207,83,0,-17,0,35,0,51,0,0,0,0,0,77,0,10390,0,83,0,2,0
20230208,109,0,-39,0,22,0,80,0,0,0,0,0,95,0,10348,0,83,0,1,0
20230209,91,0,-20,0,45,0,45,0,0,0,0,0,72,0,10329,0,80,0,4,0
20230210,103,0,-19,0,36,0,46,0,0,0,0,0,77,0,10367,0,82,0,4,0
